claims,max_claim_size,run_idx,timestamp_ms,gates_base_circuit_jwt,degree_bits_base_circuit_jwt,gates_delegation_circuit,degree_bits_delegation_circuit,gates_wrapper_circuit,degree_bits_wrapper_circuit,gates_presentation_circuit,degree_bits_presentation_circuit,build_base_circuit_jwt_s,build_delegation_circuit_s,build_wrapper_circuit_s,build_presentation_circuit_s,prove_base_proof_jwt_s,prove_wrapper_proof_s,prove_delegation_base_step_s,prove_delegation_recursive_step_s,prove_presentation_proof_s,prove_pres_precompute_witness_s,prove_pres_proof_cached_witness_s,verify_delegation_proof_s,verify_presentation_proof_s,size_base_proof_bytes,size_wrapper_proof_bytes,size_delegation_proof_bytes,size_presentation_proof_bytes
64,32,0,1787082908529,805832,20,14883,14,14377,14,7108,13,37.793126,2.620005,0.359470,0.182847,39.102457,1.169542,1.174311,1.186675,0.522072,0.138894,0.372135,0.002694,0.003305,195472,150276,150276,187688
64,32,1,1787083000470,805832,20,14883,14,14377,14,7108,13,38.080979,2.614227,0.362569,0.182503,39.267886,1.194475,1.198116,1.191080,0.513366,0.139483,0.383451,0.002697,0.003305,195472,150276,150276,187688
64,32,2,1787083092764,805832,20,14883,14,14377,14,7108,13,38.448588,2.633837,0.363485,0.184606,39.228796,1.194553,1.180217,1.169629,0.522524,0.139414,0.390259,0.002701,0.003304,195472,150276,150276,187688
64,32,3,1787083184269,805832,20,14883,14,14377,14,7108,13,37.924142,2.613100,0.362096,0.183259,39.035038,1.183302,1.203222,1.170831,0.520630,0.139624,0.366009,0.002695,0.003300,195472,150276,150276,187688
64,32,4,1787083275713,805832,20,14883,14,14377,14,7108,13,38.275143,2.608235,0.362143,0.183129,38.626530,1.180482,1.199923,1.161754,0.514028,0.139228,0.375740,0.002697,0.003307,195472,150276,150276,187688
64,32,5,1787083366373,805832,20,14883,14,14377,14,7108,13,38.141539,2.631258,0.360586,0.182172,37.966015,1.197079,1.184962,1.185883,0.520014,0.139440,0.391079,0.002695,0.003304,195472,150276,150276,187688
64,32,6,1787083458189,805832,20,14883,14,14377,14,7108,13,37.887109,2.610759,0.361141,0.182971,39.589503,1.190238,1.178597,1.163568,0.515073,0.140180,0.372797,0.002696,0.003304,195472,150276,150276,187688
64,32,7,1787083550763,805832,20,14883,14,14377,14,7108,13,37.881472,2.627255,0.361417,0.182465,40.076412,1.187639,1.164942,1.177122,0.523531,0.139361,0.399256,0.002696,0.003300,195472,150276,150276,187688
64,32,8,1787083642506,805832,20,14883,14,14377,14,7108,13,37.541532,2.614272,0.360093,0.183417,39.616157,1.183338,1.187559,1.176466,0.505277,0.139621,0.389970,0.002692,0.003290,195472,150276,150276,187688
64,32,9,1787083734190,805832,20,14883,14,14377,14,7108,13,37.807400,2.616645,0.361170,0.183833,39.320336,1.211730,1.172627,1.163621,0.517472,0.138921,0.380979,0.002697,0.003308,195472,150276,150276,187688
