claims,max_claim_size,run_idx,timestamp_ms,gates_base_circuit_jwt,degree_bits_base_circuit_jwt,gates_delegation_circuit,degree_bits_delegation_circuit,gates_wrapper_circuit,degree_bits_wrapper_circuit,gates_presentation_circuit,degree_bits_presentation_circuit,build_base_circuit_jwt_s,build_delegation_circuit_s,build_wrapper_circuit_s,build_presentation_circuit_s,prove_base_proof_jwt_s,prove_wrapper_proof_s,prove_delegation_base_step_s,prove_delegation_recursive_step_s,prove_presentation_proof_s,prove_pres_precompute_witness_s,prove_pres_proof_cached_witness_s,verify_delegation_proof_s,verify_presentation_proof_s,size_base_proof_bytes,size_wrapper_proof_bytes,size_delegation_proof_bytes,size_presentation_proof_bytes
128,32,0,1787084021105,1416358,21,15027,14,14605,14,7220,13,82.718129,2.632747,0.367308,0.183869,188.443813,1.691758,1.418840,1.167790,0.586902,0.139756,0.373274,0.002823,0.003292,202896,150276,150276,189736
128,32,1,1787084375204,1416358,21,15027,14,14605,14,7220,13,81.705110,2.645415,0.366767,0.183256,233.299057,1.571508,1.455350,1.328887,0.640556,0.143107,0.396963,0.002772,0.003548,202896,150276,150276,189736
128,32,2,1787084686378,1416358,21,15027,14,14605,14,7220,13,82.095694,2.643563,0.368148,0.188735,185.342836,1.667588,1.388077,1.156337,0.603168,0.139811,0.384573,0.002693,0.003320,202896,150276,150276,189736
128,32,3,1787085013334,1416358,21,15027,14,14605,14,7220,13,82.243965,2.621411,0.362498,0.184782,205.649420,1.513118,1.368712,1.159335,0.637511,0.139325,0.392667,0.002694,0.003327,202896,150276,150276,189736
128,32,4,1787085360597,1416358,21,15027,14,14605,14,7220,13,82.665067,2.641775,0.367020,0.184878,222.832009,1.559515,1.428226,1.182774,0.572850,0.140648,0.375006,0.002699,0.003383,202896,150276,150276,189736
128,32,5,1787085655129,1416358,21,15027,14,14605,14,7220,13,82.269781,2.630943,0.363524,0.184027,174.808277,1.732535,1.335953,1.164939,0.566758,0.139794,0.383879,0.002694,0.003318,202896,150276,150276,189736
128,32,6,1787085990693,1416358,21,15027,14,14605,14,7220,13,81.878769,2.621306,0.370979,0.184676,213.134318,1.682555,1.584524,1.182501,0.643162,0.141304,0.367417,0.002710,0.003340,202896,150276,150276,189736
128,32,7,1787086305159,1416358,21,15027,14,14605,14,7220,13,82.045603,2.638660,0.366088,0.183643,192.265733,1.592928,1.306336,1.163307,0.569772,0.140399,0.365743,0.002700,0.003323,202896,150276,150276,189736
128,32,8,1787086637997,1416358,21,15027,14,14605,14,7220,13,81.618213,2.665507,0.369432,0.184226,209.331144,1.801182,1.367025,1.165379,0.568401,0.139647,0.382926,0.002696,0.003321,202896,150276,150276,189736
128,32,9,1787086984481,1416358,21,15027,14,14605,14,7220,13,82.113311,2.649269,0.366746,0.183936,222.670644,1.900630,1.334887,1.178226,0.559456,0.140708,0.375229,0.002695,0.003325,202896,150276,150276,189736
