claims,max_claim_size,run_idx,timestamp_ms,gates_base_circuit_jwt,degree_bits_base_circuit_jwt,gates_delegation_circuit,degree_bits_delegation_circuit,gates_wrapper_circuit,degree_bits_wrapper_circuit,gates_presentation_circuit,degree_bits_presentation_circuit,build_base_circuit_jwt_s,build_delegation_circuit_s,build_wrapper_circuit_s,build_presentation_circuit_s,prove_base_proof_jwt_s,prove_wrapper_proof_s,prove_delegation_base_step_s,prove_delegation_recursive_step_s,prove_presentation_proof_s,prove_pres_precompute_witness_s,prove_pres_proof_cached_witness_s,verify_delegation_proof_s,verify_presentation_proof_s,size_base_proof_bytes,size_wrapper_proof_bytes,size_delegation_proof_bytes,size_presentation_proof_bytes
8,32,0,1787080999877,390509,19,14757,14,14142,14,7010,13,15.849257,2.554412,0.355005,0.180587,18.039500,1.146293,1.169600,1.165810,0.506067,0.139153,0.373793,0.002698,0.003285,188176,150276,150276,185896
8,32,1,1787081047793,390509,19,14757,14,14142,14,7010,13,16.132565,2.586820,0.358992,0.182004,18.363085,1.158439,1.160279,1.172702,0.512850,0.139304,0.378534,0.002698,0.003287,188176,150276,150276,185896
8,32,2,1787081096666,390509,19,14757,14,14142,14,7010,13,16.411724,2.592109,0.360489,0.181903,19.018252,1.173904,1.173707,1.152955,0.509258,0.139415,0.370303,0.002698,0.003290,188176,150276,150276,185896
8,32,3,1787081145378,390509,19,14757,14,14142,14,7010,13,16.520533,2.619594,0.360861,0.180844,18.657430,1.182925,1.174786,1.172192,0.513488,0.138556,0.375426,0.002693,0.003294,188176,150276,150276,185896
8,32,4,1787081194715,390509,19,14757,14,14142,14,7010,13,16.635926,2.607459,0.361525,0.181071,19.147872,1.198907,1.169367,1.184601,0.521568,0.138915,0.379359,0.002699,0.003291,188176,150276,150276,185896
8,32,5,1787081244067,390509,19,14757,14,14142,14,7010,13,16.645043,2.622303,0.362073,0.182258,19.112340,1.192169,1.167169,1.184112,0.520911,0.138764,0.387549,0.002695,0.003281,188176,150276,150276,185896
8,32,6,1787081293733,390509,19,14757,14,14142,14,7010,13,16.594816,2.621917,0.362376,0.180930,19.449730,1.193937,1.203661,1.183730,0.509151,0.138813,0.378852,0.002696,0.003290,188176,150276,150276,185896
8,32,7,1787081343817,390509,19,14757,14,14142,14,7010,13,16.686943,2.628397,0.362268,0.185311,19.789828,1.189612,1.190360,1.192362,0.518085,0.138827,0.376770,0.002696,0.003286,188176,150276,150276,185896
8,32,8,1787081393395,390509,19,14757,14,14142,14,7010,13,16.562385,2.633635,0.363883,0.181536,19.462542,1.185480,1.154652,1.159923,0.507295,0.138838,0.367920,0.002700,0.003284,188176,150276,150276,185896
8,32,9,1787081443423,390509,19,14757,14,14142,14,7010,13,16.814982,2.642272,0.363723,0.182686,19.604338,1.168100,1.185095,1.176730,0.515118,0.138595,0.375563,0.002697,0.003286,188176,150276,150276,185896
