claims,max_claim_size,run_idx,timestamp_ms,gates_base_circuit_jwt,degree_bits_base_circuit_jwt,gates_delegation_circuit,degree_bits_delegation_circuit,gates_wrapper_circuit,degree_bits_wrapper_circuit,gates_presentation_circuit,degree_bits_presentation_circuit,build_base_circuit_jwt_s,build_delegation_circuit_s,build_wrapper_circuit_s,build_presentation_circuit_s,prove_base_proof_jwt_s,prove_wrapper_proof_s,prove_delegation_base_step_s,prove_delegation_recursive_step_s,prove_presentation_proof_s,prove_pres_precompute_witness_s,prove_pres_proof_cached_witness_s,verify_delegation_proof_s,verify_presentation_proof_s,size_base_proof_bytes,size_wrapper_proof_bytes,size_delegation_proof_bytes,size_presentation_proof_bytes
16,32,0,1787081494678,444886,19,14775,14,14142,14,7024,13,17.820714,2.643884,0.363468,0.182945,19.770167,1.192501,1.202242,1.179347,0.505765,0.139035,0.374130,0.002696,0.003263,188176,150276,150276,186152
16,32,1,1787081546087,444886,19,14775,14,14142,14,7024,13,17.497544,2.624924,0.361989,0.183803,20.248050,1.195149,1.174995,1.198389,0.534357,0.139681,0.374018,0.002700,0.003288,188176,150276,150276,186152
16,32,2,1787081596636,444886,19,14775,14,14142,14,7024,13,17.537268,2.633182,0.360538,0.180538,19.373711,1.181553,1.174648,1.191846,0.518895,0.138863,0.383400,0.002696,0.003282,188176,150276,150276,186152
16,32,3,1787081647187,444886,19,14775,14,14142,14,7024,13,17.639065,2.624024,0.360411,0.185566,19.246907,1.174962,1.191907,1.181251,0.524565,0.139293,0.402549,0.002696,0.003292,188176,150276,150276,186152
16,32,4,1787081697527,444886,19,14775,14,14142,14,7024,13,17.554598,2.622783,0.360589,0.183211,19.185154,1.196924,1.186287,1.182509,0.518736,0.139136,0.373185,0.002701,0.003291,188176,150276,150276,186152
16,32,5,1787081748569,444886,19,14775,14,14142,14,7024,13,17.916222,2.639186,0.368229,0.185092,19.442223,1.207717,1.187874,1.170924,0.514243,0.139434,0.398861,0.002701,0.003289,188176,150276,150276,186152
16,32,6,1787081798862,444886,19,14775,14,14142,14,7024,13,17.458541,2.615415,0.360713,0.182921,19.271125,1.179568,1.164316,1.179501,0.524964,0.139242,0.377871,0.002695,0.003283,188176,150276,150276,186152
16,32,7,1787081849300,444886,19,14775,14,14142,14,7024,13,17.697643,2.610580,0.364467,0.182062,19.145230,1.190341,1.182676,1.179052,0.506178,0.139027,0.379520,0.002695,0.003286,188176,150276,150276,186152
16,32,8,1787081899809,444886,19,14775,14,14142,14,7024,13,17.534913,2.619871,0.361087,0.183084,19.345174,1.182311,1.187006,1.190104,0.513067,0.140449,0.372891,0.002695,0.003293,188176,150276,150276,186152
16,32,9,1787081950063,444886,19,14775,14,14142,14,7024,13,17.332488,2.629230,0.367266,0.184003,19.302622,1.204615,1.179399,1.189518,0.515559,0.138860,0.368437,0.002696,0.003289,188176,150276,150276,186152
